Date,Ticker,Close,inflation_rate,interest_rate,gdp_growth,unemployment_rate,exchange_rate,FTSE100_Index
2021-10-22,TSCO.L,270.75,113.4,0.0502,1.3776485546,4.2,1.3741,7204.60009765625
2021-10-25,TSCO.L,273.70001220703125,113.4,0.0502,1.3776485546,4.2,1.3773,7222.7998046875
2021-10-26,TSCO.L,273.8999938964844,113.4,0.0502,1.3776485546,4.2,1.3772,7277.60009765625
2021-10-27,TSCO.L,271.54998779296875,113.4,0.0502,1.3776485546,4.2,1.3739,7253.2998046875
2021-10-28,TSCO.L,269.6000061035156,113.4,0.0502,1.3776485546,4.2,1.3804,7249.5
2021-10-29,TSCO.L,269.8999938964844,113.4,0.0502,1.3776485546,4.2,1.3686,7237.60009765625
2021-11-01,TSCO.L,271.95001220703125,114.1,0.0468,1.3776485546,4.2,1.3679,7288.60009765625
2021-11-02,TSCO.L,272.0,114.1,0.0468,1.3776485546,4.2,1.3612,7274.7998046875
2021-11-03,TSCO.L,273.54998779296875,114.1,0.0468,1.3776485546,4.2,1.3659,7248.89990234375
2021-11-04,TSCO.L,275.6000061035156,114.1,0.0468,1.3776485546,4.2,1.3494,7279.89990234375
2021-11-05,TSCO.L,275.3500061035156,114.1,0.0468,1.3776485546,4.2,1.3491,7304.0
2021-11-08,TSCO.L,274.8500061035156,114.1,0.0468,1.3776485546,4.2,1.3563,7300.39990234375
2021-11-09,TSCO.L,278.5,114.1,0.0468,1.3776485546,4.2,1.3551,7274.0
2021-11-10,TSCO.L,284.95001220703125,114.1,0.0468,1.3776485546,4.2,1.347,7340.2001953125
2021-11-11,TSCO.L,283.70001220703125,114.1,0.0468,1.3776485546,4.2,1.347,7384.2001953125
2021-11-12,TSCO.L,285.0,114.1,0.0468,1.3776485546,4.2,1.3412,7347.89990234375
2021-11-15,TSCO.L,285.8999938964844,114.1,0.0468,1.3776485546,4.2,1.3444,7351.89990234375
2021-11-16,TSCO.L,280.6499938964844,114.1,0.0468,1.3776485546,4.2,1.3429,7327.0
2021-11-17,TSCO.L,277.8500061035156,114.1,0.0468,1.3776485546,4.2,1.3488,7291.2001953125
2021-11-18,TSCO.L,279.3500061035156,114.1,0.0468,1.3776485546,4.2,1.3489,7256.0
2021-11-19,TSCO.L,278.8500061035156,114.1,0.0468,1.3776485546,4.2,1.3474,7223.60009765625
2021-11-22,TSCO.L,280.8999938964844,114.1,0.0468,1.3776485546,4.2,1.3412,7255.5
2021-11-23,TSCO.L,279.79998779296875,114.1,0.0468,1.3776485546,4.2,1.3388,7266.7001953125
2021-11-24,TSCO.L,280.5,114.1,0.0468,1.3776485546,4.2,1.3332,7286.2998046875
2021-11-25,TSCO.L,280.3500061035156,114.1,0.0468,1.3776485546,4.2,1.3332,7310.39990234375
2021-11-26,TSCO.L,279.1499938964844,114.1,0.0468,1.3776485546,4.2,1.3322,7044.0
2021-11-29,TSCO.L,279.0,114.1,0.0468,1.3776485546,4.2,1.3291,7110.0
2021-11-30,TSCO.L,276.75,114.1,0.0468,1.3776485546,4.2,1.3252,7059.5
2021-12-01,TSCO.L,278.1499938964844,114.7,0.1141,1.3776485546,4.1,1.3308,7168.7001953125
2021-12-02,TSCO.L,277.8500061035156,114.7,0.1141,1.3776485546,4.1,1.3305,7129.2001953125
2021-12-03,TSCO.L,280.1000061035156,114.7,0.1141,1.3776485546,4.1,1.3234,7122.2998046875
2021-12-06,TSCO.L,280.6499938964844,114.7,0.1141,1.3776485546,4.1,1.3252,7232.2998046875
2021-12-07,TSCO.L,284.29998779296875,114.7,0.1141,1.3776485546,4.1,1.3236,7339.89990234375
2021-12-08,TSCO.L,282.75,114.7,0.1141,1.3776485546,4.1,1.3236,7337.39990234375
2021-12-09,TSCO.L,283.0,114.7,0.1141,1.3776485546,4.1,1.3188,7321.2998046875
2021-12-10,TSCO.L,284.3999938964844,114.7,0.1141,1.3776485546,4.1,1.3262,7291.7998046875
2021-12-13,TSCO.L,285.3500061035156,114.7,0.1141,1.3776485546,4.1,1.3233,7231.39990234375
2021-12-14,TSCO.L,284.75,114.7,0.1141,1.3776485546,4.1,1.3225,7218.60009765625
